sintomas,especialidad
"Doctor, tengo tengo una picazón allá abajo intermitente.",Ginecología
Indica tener no puedo ni tragar del dolor de garganta que no pasa.,Otorrinolaringología
Hay presencia de estoy viendo doble hace una semana.,Oftalmología
Manifiesta fenómeno de Raynaud de inicio súbito.,Reumatología
"Crisis convulsiva tónico-clónica, también refiere cefalea tensional holocraneal.",Neurología
"Tengo un descenso que huele mal, acompañado de me duelen los senos antes de la menstruación.",Ginecología
Manifiesta odinofagia intensa intermitente.,Otorrinolaringología
Indica tener disminución de la agudeza visual desde esta mañana.,Oftalmología
"Se me va el aire al subir gradas, sumado a me hinca el corazón.",Cardiología
Ayúdeme con estoy tosiendo sangre intermitente.,Neumología
No puedo ni tragar del dolor de garganta y siente me duele full el oído derecho.,Otorrinolaringología
Manifiesta lesiones herpéticas hace una semana.,Infectología
Presento me arde la boca del estómago de inicio súbito.,Gastroenterología
Acude por presentar todo lo que come lo vomita que no pasa.,Pediatría
Se queja de lesiones herpéticas desde hace 3 días.,Infectología
Ayúdeme con gingivorragia que no pasa.,Odontología
Siento que angina de pecho estable constante.,Cardiología
Manifiesta veo mosquitas volando desde esta mañana.,Oftalmología
Ayúdeme con paso estornudando todo el día de inicio súbito.,Alergología
Me da prurito vulvar de inicio súbito.,Ginecología
Manifiesta vértigo periférico constante.,Neurología
Tengo rigidez articular desde esta mañana.,Reumatología
Siento que disnea paroxística nocturna intermitente.,Neumología
"Ictericia marcada, acompañado de dispepsia funcional.",Gastroenterología
Desde ayer tengo síndrome febril agudo de inicio súbito.,Infectología
Acude por presentar me mareo si muevo la cabeza de inicio súbito.,Otorrinolaringología
Hay presencia de amanezco tieso que no pasa.,Reumatología
"Erupción exantemática, sumado a intolerancia a la vía oral.",Pediatría
Presenta ictericia marcada y dice que estoy aventado.,Gastroenterología
Hay presencia de veo lucecitas antes de que me duela la cabeza desde hace 3 días.,Neurología
"Estoy vomitando sangre, sumado a estoy amarillo como patito.",Gastroenterología
Manifiesta alucinaciones auditivas desde hace 3 días.,Psiquiatría
Siento que hipertensión arterial descontrolada desde hace 3 días.,Cardiología
"Tengo hongos en la piel, sumado a me salió un lunar raro.",Dermatología
Paciente refiere que artralgias matutinas hace una semana.,Reumatología
Ayúdeme con me duele mucho un testículo que no pasa.,Urología
Presento tengo problemas de potencia sexual de inicio súbito.,Urología
Hay presencia de el nene no para de llorar de inicio súbito.,Pediatría
Siento que la presión no me baja con nada desde esta mañana.,Nefrología
Desde ayer tengo cervicalgia post-latigazo hace una semana.,Traumatología
Manifiesta me arde para orinar y voy a cada rato que no pasa.,Urología
Me da dolor abdominal inespecífico desde esta mañana.,Medicina General
Presento tengo un nacido en la encía intermitente.,Odontología
"Se tomó un veneno, también refiere se quemó con agua hirviendo.",Emergencias
Me da temblor distal fino desde esta mañana.,Endocrinología
Paciente refiere que ya no hago del baño como antes que no pasa.,Oncología
Limitación funcional articular con algia lumbar mecánica.,Traumatología
Tengo paso con frío todo el tiempo hace una semana.,Endocrinología
"Doctor, tengo tos productiva con esputo intermitente.",Neumología
Fotofobia y además hiperemia conjuntival.,Oftalmología
Me da odontalgia severa de inicio súbito.,Odontología
Gingivorragia y siente bruxismo.,Odontología
Tengo la cara llena de granos feos y además tengo sarpullido que pica mucho.,Dermatología
Parestesias en hemicuerpo y además migraña con aura.,Neurología
"Doctor, tengo le dio el ataque y se sacudió constante.",Neurología
Acude por presentar le salieron granitos en todo el cuerpo de inicio súbito.,Pediatría
Me da hemoptisis intermitente.,Neumología
Manifiesta anafilaxia desde hace 3 días.,Emergencias
Paciente refiere que me siento una bola dura que no duele de inicio súbito.,Oncología
"Se me va el aire al subir gradas, también refiere me dio un soponcio y me caí.",Cardiología
Tengo se me atranca la comida al pasar intermitente.,Oncología
Ayúdeme con fractura expuesta hace una semana.,Traumatología
Paciente refiere que se rompió la cabeza en la caída de inicio súbito.,Emergencias
Presenta oliguria y dice que amanecí con los ojos hinchados.,Nefrología
Paciente refiere que edema en miembros inferiores constante.,Cardiología
Tengo el guagua está hirviendo en fiebre constante.,Pediatría
Se queja de rinitis alérgica estacional que no pasa.,Alergología
Manifiesta amanezco tieso que no pasa.,Reumatología
Paciente refiere que quemadura de segundo grado desde esta mañana.,Emergencias
Hemorragia digestiva oculta y además masa palpable no dolorosa.,Oncología
Desde ayer tengo fotofobia desde hace 3 días.,Oftalmología
"Dismenorrea incapacitante, acompañado de sangrado uterino anormal.",Ginecología
Desde ayer tengo me hinca el corazón desde hace 3 días.,Cardiología
"Migraña con aura, también refiere vértigo periférico.",Neurología
Presento me duele full el oído derecho intermitente.,Otorrinolaringología
Me duele la barriga un poco con tengo un dolorcito de cabeza.,Medicina General
Indica tener tengo un descenso que huele mal desde esta mañana.,Ginecología
Disfunción eréctil y siente disuria y polaquiuria.,Urología
Acude por presentar proteinuria espumosa desde hace 3 días.,Nefrología
Me da cefalea tensional holocraneal hace una semana.,Neurología
Presenta quemadura de segundo grado y dice que se está hinchando todo y no respira.,Emergencias
Hay presencia de siento como una pata de elefante en el pecho de inicio súbito.,Cardiología
Hematemesis y además epigastralgia urente.,Gastroenterología
Se queja de tengo mal aliento de inicio súbito.,Odontología
Paciente refiere que disminución de la agudeza visual constante.,Oftalmología
Desde ayer tengo me salieron ampollas dolorosas hace una semana.,Infectología
"Doctor, tengo escucho voces que nadie más oye desde esta mañana.",Psiquiatría
Fotofobia y además diplopía.,Oftalmología
Me da migraña con aura constante.,Neurología
Desde ayer tengo prurito ocular y nasal que no pasa.,Alergología
Desde ayer tengo ideación suicida hace una semana.,Psiquiatría
Hay presencia de se me atranca la comida al pasar de inicio súbito.,Oncología
"Diplopía, también refiere disminución de la agudeza visual.",Oftalmología
Ayúdeme con tengo un nacido en la encía constante.,Odontología
Oliguria y siente proteinuria espumosa.,Nefrología
Me duele la barriga un poco y siente me duele todo el cuerpo.,Medicina General
Presento cambios en hábito intestinal constante.,Oncología
Siento que miodesopsias desde esta mañana.,Oftalmología
Tengo tengo una picazón allá abajo hace una semana.,Ginecología
Presento micosis cutánea de inicio súbito.,Dermatología
Paciente refiere que lesiones herpéticas constante.,Infectología
"Epigastralgia urente, también refiere hematemesis.",Gastroenterología
Hay presencia de fiebre de origen desconocido de inicio súbito.,Infectología
Disfagia progresiva y siente hemorragia digestiva oculta.,Oncología
Presenta disnea de esfuerzo y dice que me dio un soponcio y me caí.,Cardiología
Hay presencia de dolor en fosa renal desde hace 3 días.,Nefrología
Desde ayer tengo se rompió la cabeza en la caída intermitente.,Emergencias
"Palpitaciones taquicárdicas, también refiere síncope vasovagal.",Cardiología
"Doctor, tengo disfagia progresiva hace una semana.",Oncología
Paciente refiere que me siento muy nervioso y con miedo hace una semana.,Psiquiatría
Ayúdeme con edema y equimosis post-traumática hace una semana.,Traumatología
Me da fenómeno de Raynaud constante.,Reumatología
Ayúdeme con paso estornudando todo el día intermitente.,Alergología
Desde ayer tengo se me hinchó la boca y los ojos que no pasa.,Alergología
Le dio el ataque y se sacudió y además siento hormigueo en medio cuerpo.,Neurología
"Doctor, tengo estoy viendo doble intermitente.",Oftalmología
Tengo todo me da vueltas y me tumba constante.,Neurología
Me duele la cintura bajito y además tengo el cuello tieso por el frenazo.,Traumatología
Indica tener disfunción eréctil intermitente.,Urología
"Doctor, tengo tengo mucha sed y orino bastante intermitente.",Endocrinología
Presenta distensión abdominal y dice que estoy amarillo como patito.,Gastroenterología
Paciente refiere que la presión no me baja con nada hace una semana.,Nefrología
Desde ayer tengo disuria y polaquiuria desde hace 3 días.,Urología
Hay presencia de tengo bolas en el cuello y axilas desde esta mañana.,Infectología
Se queja de palpitaciones taquicárdicas desde esta mañana.,Cardiología
Acude por presentar tengo tos de perro con flema que no pasa.,Neumología
Ánimo depresivo persistente y además insomnio de conciliación.,Psiquiatría
Indica tener parestesias en hemicuerpo de inicio súbito.,Neurología
Hay presencia de me duele mucho un testículo desde esta mañana.,Urología
Se queja de me salió alergia por tocar algo que no pasa.,Alergología
Angina de pecho estable con dolor precordial opresivo.,Cardiología
Tengo dolor en fosa renal constante.,Nefrología
Epigastralgia urente y además distensión abdominal.,Gastroenterología
Presenta polidipsia y poliuria y dice que estoy engordando sin comer tanto.,Endocrinología
Me da tengo una fiebre que no se me va intermitente.,Infectología
Siento que tengo hongos en la piel desde esta mañana.,Dermatología
Tengo un descenso que huele mal y siente me duelen los senos antes de la menstruación.,Ginecología
Amanecí con los ojos hinchados y además la presión no me baja con nada.,Nefrología
Paciente refiere que todo me da vueltas y me tumba constante.,Neurología
"Me ahogo cuando estoy durmiendo, también refiere me chilla el pecho al respirar.",Neumología
"Dolor pleurítico, acompañado de hemoptisis.",Neumología
Indica tener limitación funcional articular constante.,Traumatología
Indica tener me ahogo cuando estoy durmiendo desde esta mañana.,Neumología
Indica tener intolerancia al frío constante.,Endocrinología
Manifiesta me siento una bola dura que no duele de inicio súbito.,Oncología
Me da ideación suicida hace una semana.,Psiquiatría
"Otalgia derecha, sumado a epistaxis anterior.",Otorrinolaringología
Rigidez articular y además artralgias matutinas.,Reumatología
"Doctor, tengo dolor testicular agudo de inicio súbito.",Urología
Algia lumbar mecánica y además limitación funcional articular.,Traumatología
Ayúdeme con reacción a medicamentos desde hace 3 días.,Alergología
Paciente refiere que hemoptisis de inicio súbito.,Neumología
Se me regresa la comida agria y siente estoy aventado.,Gastroenterología
Hay presencia de artralgias matutinas desde hace 3 días.,Reumatología
"Me salió alergia por tocar algo, acompañado de se me hinchó la boca y los ojos.",Alergología
Tengo me duele todo el cuerpo que no pasa.,Medicina General
Se queja de tengo ganas de quitarme la vida constante.,Psiquiatría
"Se me ponen los dedos blancos con el frío, acompañado de amanezco tieso.",Reumatología
Presento todo me da vueltas y me tumba desde hace 3 días.,Neurología
Desde ayer tengo tengo las piernas hinchadas como tamal desde esta mañana.,Cardiología
"Dolor en fosa renal, también refiere proteinuria espumosa.",Nefrología
Ayúdeme con me duele full el oído derecho constante.,Otorrinolaringología
Hay presencia de siento como una pata de elefante en el pecho que no pasa.,Cardiología
Acude por presentar me duele la muela horrible desde esta mañana.,Odontología
Desde ayer tengo dermatitis de contacto de inicio súbito.,Alergología
Hay presencia de disminución de la agudeza visual constante.,Oftalmología
Tengo me enronché después de tomar la pastilla desde esta mañana.,Alergología
Desde ayer tengo insomnio de conciliación constante.,Psiquiatría
Me da bruxismo que no pasa.,Odontología
Me da veo mosquitas volando constante.,Oftalmología
